Candidate_ID,Job_Role,Source,Application_Date,Screening_Status,Technical_Interview,HR_Interview,Offer_Status,Offer_Accepted,Time_to_Hire_Days,CTC_Offered_LPA
171,Data Analyst,Company Website,2024-11-09,Rejected,Not Attended,Pending,Not Offered,Yes,42,5.3
172,Data Analyst,Referral,2024-08-05,Passed,Passed,Rejected,Not Offered,No,7,8.45
173,Data Scientist,LinkedIn,2024-09-09,Passed,Passed,Pending,Offered,No,33,9.98
174,Software Engineer,Naukri,2024-10-03,Passed,Passed,Passed,Offered,No,31,5.34
175,Software Engineer,Company Website,2024-10-03,Passed,Not Attended,Passed,Not Offered,No,52,8.65
176,Data Scientist,Campus,2024-03-12,Passed,Passed,Passed,Not Offered,Pending,56,16.58
177,Business Analyst,Company Website,2024-05-08,Passed,Passed,Rejected,Offered,Pending,52,8.39
178,Data Analyst,Campus,2024-12-23,Passed,Passed,Rejected,Not Offered,Pending,7,19.98
179,HR Executive,Naukri,2024-07-04,Passed,Passed,Pending,Not Offered,Pending,52,7.94
180,Data Analyst,Referral,2024-01-13,Rejected,Not Attended,Pending,Not Offered,Yes,34,4.69
181,Data Analyst,Campus,2024-11-24,Passed,Rejected,Pending,Not Offered,Yes,22,16.4
182,Business Analyst,Referral,2024-08-07,Passed,Rejected,Passed,Offered,No,12,5.06
183,Data Analyst,Company Website,2024-01-06,Rejected,Not Attended,Passed,Not Offered,Pending,14,3.81
184,Data Scientist,Naukri,2024-08-26,Passed,Rejected,Passed,Not Offered,Pending,26,9.73
185,Data Scientist,Campus,2024-04-21,Passed,Not Attended,Rejected,Not Offered,No,28,18.33
186,Software Engineer,Company Website,2024-08-15,Passed,Passed,Passed,Not Offered,Pending,7,12.7
187,HR Executive,LinkedIn,2024-01-17,Passed,Not Attended,Rejected,Not Offered,Pending,18,18.6
188,Data Analyst,Company Website,2024-03-13,Rejected,Passed,Passed,Not Offered,Yes,51,17.85
189,Data Analyst,Referral,2024-01-12,Passed,Rejected,Passed,Offered,No,28,4.29
190,Business Analyst,Naukri,2024-03-26,Passed,Rejected,Rejected,Not Offered,Pending,31,3.95
191,Data Scientist,Naukri,2024-06-28,Passed,Passed,Passed,Not Offered,No,38,8.06
192,HR Executive,Company Website,2024-05-01,Rejected,Passed,Pending,Not Offered,No,35,18.01
193,Software Engineer,LinkedIn,2024-07-22,Passed,Passed,Pending,Offered,No,52,11.58
194,Data Scientist,Referral,2024-03-10,Passed,Passed,Passed,Offered,No,31,19.28
195,Software Engineer,Company Website,2024-04-17,Passed,Rejected,Pending,Not Offered,Pending,49,8.08
196,Business Analyst,Company Website,2024-07-19,Passed,Not Attended,Rejected,Not Offered,Yes,33,10.59
197,Business Analyst,Naukri,2024-02-21,Passed,Rejected,Rejected,Offered,Pending,59,3.44
198,Data Analyst,Referral,2024-02-06,Passed,Rejected,Passed,Not Offered,Pending,33,17.85
199,HR Executive,LinkedIn,2024-04-26,Passed,Passed,Pending,Not Offered,Pending,51,5.72
200,Software Engineer,Naukri,2024-09-15,Passed,Passed,Passed,Not Offered,Pending,50,19.77
201,Data Scientist,Company Website,2024-09-20,Passed,Rejected,Passed,Not Offered,Yes,54,8.18
202,Business Analyst,Naukri,2024-10-29,Passed,Not Attended,Passed,Not Offered,No,52,19.07
203,Data Analyst,Naukri,2024-03-04,Rejected,Not Attended,Rejected,Offered,Yes,16,14.4
204,Data Analyst,Campus,2024-02-11,Passed,Passed,Rejected,Offered,Pending,18,12.77
205,Software Engineer,Naukri,2024-02-12,Passed,Rejected,Pending,Offered,Pending,31,5.04
206,Business Analyst,Naukri,2024-05-04,Passed,Rejected,Pending,Not Offered,No,51,4.77
207,HR Executive,Referral,2024-09-26,Passed,Rejected,Pending,Not Offered,No,6,7.52
208,Business Analyst,Naukri,2024-12-12,Passed,Rejected,Pending,Not Offered,No,41,9.08
209,Software Engineer,LinkedIn,2024-08-20,Rejected,Rejected,Passed,Not Offered,No,49,13.49
210,Software Engineer,Company Website,2024-05-11,Passed,Passed,Rejected,Not Offered,No,22,5.85
211,Business Analyst,Referral,2024-01-02,Rejected,Not Attended,Rejected,Offered,Pending,17,14.77
212,Software Engineer,Naukri,2024-04-24,Rejected,Passed,Rejected,Offered,Yes,13,3.95
213,Business Analyst,LinkedIn,2024-01-01,Passed,Passed,Rejected,Offered,Yes,33,17.71
214,Data Scientist,Company Website,2024-11-26,Rejected,Not Attended,Pending,Not Offered,No,14,17.91
215,Business Analyst,Referral,2024-03-05,Passed,Passed,Passed,Not Offered,Yes,24,18.23
216,Business Analyst,LinkedIn,2024-05-04,Passed,Passed,Pending,Not Offered,Pending,41,10.22
217,Software Engineer,Naukri,2024-09-12,Passed,Passed,Passed,Offered,Yes,33,5.21
218,Software Engineer,Campus,2024-11-17,Passed,Rejected,Passed,Not Offered,No,10,11.66
219,Data Analyst,Campus,2024-05-22,Rejected,Passed,Rejected,Offered,Pending,45,15.89
220,Data Analyst,Referral,2024-11-23,Rejected,Passed,Rejected,Not Offered,No,30,7.57
221,Data Scientist,LinkedIn,2024-09-02,Rejected,Passed,Passed,Offered,Pending,26,14.34
222,Data Analyst,Company Website,2024-04-25,Passed,Not Attended,Rejected,Not Offered,Pending,58,3.32
223,Business Analyst,LinkedIn,2024-10-29,Passed,Passed,Rejected,Not Offered,No,47,16.82
224,Software Engineer,Campus,2024-03-30,Passed,Rejected,Passed,Not Offered,Yes,51,6.7
225,Data Analyst,Referral,2024-10-22,Passed,Passed,Pending,Offered,Pending,42,18.51
226,Data Analyst,Naukri,2024-02-11,Passed,Rejected,Passed,Not Offered,No,30,12.22
227,Data Scientist,LinkedIn,2024-02-04,Passed,Passed,Pending,Not Offered,No,21,9.38
228,Data Scientist,Campus,2024-02-10,Passed,Rejected,Passed,Offered,Pending,5,15.53
229,Business Analyst,Company Website,2024-12-06,Passed,Rejected,Rejected,Not Offered,Yes,35,8.32
230,Software Engineer,Referral,2024-05-03,Passed,Passed,Pending,Not Offered,No,13,15.16
231,Data Scientist,Naukri,2024-02-26,Passed,Not Attended,Pending,Offered,Pending,30,8.31
232,Data Analyst,LinkedIn,2024-10-20,Rejected,Not Attended,Pending,Offered,Pending,54,17.4
233,Software Engineer,Company Website,2024-08-22,Passed,Passed,Passed,Offered,Pending,57,19.68
234,Software Engineer,Naukri,2024-04-05,Passed,Rejected,Passed,Not Offered,No,10,14.18
235,Data Analyst,Campus,2024-11-14,Rejected,Rejected,Rejected,Offered,Pending,50,12.15
236,Data Scientist,Campus,2024-12-08,Rejected,Passed,Rejected,Offered,Yes,6,10.82
237,Data Analyst,Company Website,2024-05-11,Rejected,Passed,Pending,Not Offered,No,46,18.8
238,Software Engineer,Campus,2024-06-24,Passed,Not Attended,Passed,Not Offered,Yes,31,10.44
239,HR Executive,Referral,2024-02-21,Passed,Rejected,Rejected,Offered,Yes,5,16.77
240,HR Executive,Company Website,2024-02-07,Rejected,Not Attended,Rejected,Not Offered,Pending,34,3.07
241,Business Analyst,Campus,2024-12-08,Rejected,Rejected,Pending,Not Offered,Yes,22,18.17
242,Data Analyst,LinkedIn,2024-01-05,Passed,Passed,Passed,Offered,No,38,9.57
243,Data Analyst,Campus,2024-07-31,Passed,Passed,Pending,Offered,No,25,7.73
244,Business Analyst,Referral,2024-04-29,Passed,Rejected,Rejected,Offered,Yes,5,5.56
245,Business Analyst,Naukri,2024-11-21,Passed,Rejected,Pending,Offered,Pending,51,4.22
246,Business Analyst,Naukri,2024-07-27,Passed,Passed,Rejected,Not Offered,Pending,36,18.0
247,Software Engineer,Campus,2024-08-04,Passed,Rejected,Pending,Not Offered,Pending,47,8.64
248,Data Analyst,Naukri,2024-01-24,Rejected,Not Attended,Passed,Not Offered,Pending,38,19.53
249,Software Engineer,Campus,2024-12-07,Passed,Rejected,Pending,Not Offered,No,51,10.16
250,Business Analyst,Referral,2024-07-23,Rejected,Passed,Rejected,Not Offered,Pending,57,19.11
251,Data Analyst,Naukri,2024-08-13,Passed,Passed,Rejected,Offered,Yes,18,14.19
252,Software Engineer,LinkedIn,2024-08-05,Passed,Not Attended,Passed,Offered,Pending,9,5.62
253,Software Engineer,Campus,2024-07-29,Passed,Not Attended,Pending,Not Offered,Pending,59,8.2
254,Business Analyst,Naukri,2024-01-26,Rejected,Passed,Passed,Not Offered,No,40,19.0
255,Data Analyst,Referral,2024-09-08,Passed,Not Attended,Passed,Offered,No,58,10.3
256,Business Analyst,Referral,2024-01-03,Passed,Passed,Passed,Offered,No,36,3.95
257,Data Analyst,LinkedIn,2024-01-02,Rejected,Passed,Passed,Not Offered,Pending,58,8.78
258,HR Executive,Referral,2024-04-01,Passed,Passed,Rejected,Not Offered,No,13,17.9
259,Data Scientist,Referral,2024-01-02,Rejected,Passed,Passed,Not Offered,Pending,49,19.96
260,Data Scientist,Naukri,2024-05-29,Rejected,Not Attended,Passed,Not Offered,No,39,3.5
261,Data Scientist,Campus,2024-03-11,Rejected,Rejected,Passed,Not Offered,Pending,29,11.01
262,Business Analyst,Company Website,2024-01-04,Passed,Passed,Rejected,Offered,No,15,7.18
263,HR Executive,Referral,2024-02-07,Passed,Not Attended,Rejected,Not Offered,Pending,50,19.69
264,Data Analyst,Referral,2024-12-24,Rejected,Not Attended,Passed,Offered,No,45,9.53
265,Software Engineer,Company Website,2024-03-10,Passed,Passed,Rejected,Offered,No,17,18.87
266,Data Analyst,Referral,2024-07-19,Passed,Rejected,Rejected,Not Offered,No,34,13.38
267,Software Engineer,Naukri,2024-11-03,Rejected,Rejected,Pending,Offered,No,38,18.16
268,Data Analyst,Naukri,2024-09-08,Passed,Rejected,Passed,Not Offered,Pending,36,19.14
269,HR Executive,Company Website,2024-10-13,Rejected,Rejected,Pending,Not Offered,Pending,34,4.78
270,Software Engineer,Referral,2024-10-18,Rejected,Passed,Passed,Not Offered,No,22,6.43
271,Business Analyst,Referral,2024-06-02,Rejected,Passed,Pending,Not Offered,No,43,7.51
272,Data Analyst,Campus,2024-05-12,Passed,Not Attended,Rejected,Not Offered,Pending,7,12.1
273,Data Analyst,Referral,2024-03-14,Passed,Not Attended,Passed,Not Offered,Pending,11,7.1
274,Software Engineer,Naukri,2024-09-30,Passed,Passed,Rejected,Not Offered,No,43,18.87
275,Business Analyst,LinkedIn,2024-09-27,Passed,Passed,Pending,Not Offered,Pending,59,6.07
276,Business Analyst,LinkedIn,2024-07-03,Passed,Not Attended,Rejected,Not Offered,No,38,5.91
277,HR Executive,LinkedIn,2024-12-18,Passed,Passed,Rejected,Not Offered,Yes,12,5.58
278,Business Analyst,LinkedIn,2024-01-05,Passed,Passed,Passed,Not Offered,No,47,10.41
279,Business Analyst,Referral,2024-10-19,Passed,Passed,Pending,Offered,Pending,52,3.77
280,Business Analyst,Referral,2024-12-25,Rejected,Passed,Pending,Not Offered,Pending,36,14.56
281,Data Scientist,Campus,2024-03-26,Passed,Passed,Passed,Offered,Pending,44,7.23
282,HR Executive,Referral,2024-08-01,Passed,Rejected,Pending,Not Offered,Yes,18,18.87
283,Data Analyst,LinkedIn,2024-01-15,Passed,Passed,Passed,Not Offered,No,9,6.06
